Sentence,Option 1,Option 2,Option 3,Option 4,Correct answer,Meaning 1,Meaning 2,Meaning 3,Meaning 4
彼は仕事と私情を____ようにしている。,まじわらない,まじえない,まじらない,まざらない,まじわらない,do not associate,do not mix,do not associate or mingle,do not blend or mix
カーブに入る前にスピードを____安全を確保した。,ゆるめて,へらして,よわめて,なくして,ゆるめて,loosen; slow down,reduce,weaken,eliminate; remove
彼は相手の弱点を分析し作戦を____上で試合に臨んだ。,ねった,こめた,ほどこした,あつらえた,ねった,devise; formulate (a plan or strategy),put into (emotion; effort),applied; carried out,ordered; had something made
静かな川の____に、小さな茶屋が建っていた。,かたわら,ふもと,なぎさ,すそ,かたわら,beside; by the side of,foot (of a mountain),water’s edge; beach,hem; foot; bottom edge (e.g. of a mountain or clothing)
失われた伝統が人々の努力によって再び____。,よみがえる,ちかづける,すきとおる,たてまつる,よみがえる,to be revived; to come back to life,to bring close; to draw near,to be transparent; to be clear,to offer respectfully; to present
彼はどんな小さな仕事でも____で取り組む。,おこたらない,かばわない,おかさない,かたよらない,おこたらない,to not neglect; to make every effort,to not protect; to not defend,to not commit (a crime or error); to not violate,to not be biased; to be impartial
農家の人たちは春になると____コムギを畑に育て始める。,まいた,ました,まった,まげた,まいた,sowed (e.g. seeds),increased (e.g. volume),waited,bent; twisted
この町には歴史的な____がある建物が多い。,おもむき,おおすじ,おとも,おそれ,おもむき,charm; atmosphere; appeal,outline; gist,attendant; companion,fear; threat; risk
彼の仕事の____は見事だった。,てぎわ,しらべ,こころえ,うちわけ,てぎわ,skillful handling; efficiency,investigation; melody,knowledge; understanding; rules,breakdown; itemization; classification
この作業は明日までに____必要がある。,仕上げる,仕切る,仕入れる,仕掛ける,仕上げる,to finish; to complete,to partition; to divide; to manage,to stock; to purchase for resale,to set up; to start; to challenge
彼は細かいデザインに____いて、作業がなかなか進まない。,こだわって,こじれて,ことなって,こぼれて,こだわって,being particular about; paying excessive attention,becoming complicated; getting worse,being different from,spilling over; overflowing
ドアを開けた瞬間鼻を____ 刺激的なにおいがした。,ついた,おった,かんだ,まげた,ついた,struck the nose; strongly hit the sense of smell,broke (something); fractured,blew (one’s nose),bent; twisted
どうぞ____ をせずに、自由にご意見をお聞かせください。,きがね,きだて,きまぐれ,きまじめ,きがね,reserve; hesitation,disposition; temperament,whim; capriciousness,seriousness; earnestness
ことばの____が原因で誤解が生じた。,行き違い,落ち着き,差し引き,受け持ち,行き違い,misunderstanding; miscommunication,calmness; composure,balance; deduction,charge; responsibility
この箱は大きくて____(荷物)で持ちにくい。,かさばる,かせぐ,かすむ,かぶれる,かさばる,to be bulky; to take up space,to earn; to gain,to become hazy; to be overshadowed,to be influenced by; to develop a rash
関係が____ので話し合いが必要だ。,きしみはじめた,きずきはじめた,きたえはじめた,きざみはじめた,きしみはじめた,started to creak; started to become strained,started to notice; started to become aware,started to train; started to strengthen,started to chop; started to engrave
____が広いことで知られる彼は、どこに行ってもすぐに覚えられてしまう。,かお,くち,まゆ,みみ,かお,face,mouth,eybrows,ears
この状態を長く____のは難しい。,たもつ,ためる,たやす,たよる,たもつ,to maintain; to preserve,to save; to accumulate,to let something be lost; to waste,to rely on; to depend on
台風の影響で、イベントの開催を____ことになった。,見あわせる,見はからう,見ならう,見のがす,見あわせる,to postpone; to suspend,to estimate; to judge the right time or amount,to follow someone’s example,to overlook; to miss noticing something
医者も____を投げたほど、彼の病状は深刻だった。,さじ,さら,はし,はり,さじ,spoon,plate,chopsticks,needle; pin
この機械の____を理解するには、専門的な知識が必要だ。,しくみ,しあげ,したて,しつけ,しくみ,structure; mechanism,finishing; completion,tailoring; making (clothes),discipline; upbringing
彼は危うく事故を____が、幸いにも無傷だった。,まぬがれた,のがした,しのいだ,よけた,まぬがれた,escaped; avoided (something undesirable),missed (a chance; let slip),endured; survived,avoided (a physical object or attack)
遠くの景色が霧で____見えない。,ぼやけて,ほどけて,とぼけて,ぼやいて,ぼやけて,became blurry; became unclear,came untied; unraveled,played dumb; pretended not to know,grumbled; complained
復旧の____が立ったので、現場の作業を再開した。,めど ,ほど,まと,あと,めど ,prospect; outlook; aim,extent; degree; amount,target; goal,trace; mark; remains
心を____書いた手紙が彼の気持ちを動かした。,こめて,いれて ,つめて,つけて,こめて,with; filled with (emotion or thought),put in; include,pack; stuff,attach; apply
緊張した空気を____ために、冗談を言ってみた。,やわらげる,ただめる,とどめる,せばめる,やわらげる,to soften; to ease; to relieve,to correct; to pacify,to stop; to restrain,to narrow; to reduce
自分の経験を仕事に____成果を上げた。,生かして,慣れて,使って,努力して,生かして,to make use of; to leverage,to get used to; to become accustomed to,to use; to operate,to make an effort; to strive
途中で退席しても____なければ帰ってもかまいません。,さしつかえ,さしかえ,さしひかえ,さしおさえ,さしつかえ,hindrance; problem; inconvenience,substitution; replacement,refraining; holding back,seizure; confiscation; restraint
このソフトは機能が多いが、すべてを____のは難しい。,使いこなす,使いおわる,使いはたす,使いすてる,使いこなす,to master; to use proficiently,to finish using,to use up completely,to use once and throw away
熱いものが胸に____きたとき、彼の本気の思いが伝わった。,こみあげて,こぼれて,そそいで,ながれて,こみあげて,to well up; to surge (emotion or tears),to spill; to overflow,to pour (a liquid; also used metaphorically),to flow
彼は新しい技術を積極的に____、事業に活かしている。,受けて,とらえて,集めて,得て,受けて,to receive; to accept,to grasp; to capture (a concept or object),to gather; to collect,to obtain; to gain
彼の売り上げはここ数ヶ月で____に伸びている。,うなぎのぼり,さかあがり,とびあがり,こいのぼり,うなぎのぼり,rapid rise; skyrocketing,back hip circle (gymnastics move),jumping up,carp streamer (decoration)
____成果は出せなかったが、最後まで努力はした。,これといった,これみよがし,これしかない,こればかりの,これといった,notable; particular; special,ostentatious; showing off,nothing but this; only this,just this much; full of this
医師が最終的な判断を____のを待っている。,くだす,まとめる,やる,おろす,くだす,to issue; to make (a judgment or decision),to put together; to summarize,to do; to give,to do; to give
あれだけの借金では、少しのお金では____だろう。,焼け石に水,九死に一生,雨後のたけのこ,猫に小判,焼け石に水,a drop in the ocean; ineffective effort,a miraculous escape; a narrow escape from death,things appearing in rapid succession (like bamboo shoots after rain),casting pearls before swine;
彼は時代の変化を敏感に感じ取り、新しいビジネスで____成功を収めた。,波に乗って,峠を越えて,風に吹かれて,流れに逆らって,波に乗って,riding the wave; going with a favorable trend,having overcome a difficult peak or phase,being blown by the wind; drifting,going against the current; resisting the trend
商品の売上は一時的に上昇したが、現在は____状態だ。,伸びは頭打ちだ,思わしい,悩んでいる,とどまらない,伸びは頭打ちだ,growth has plateaued; hit the ceiling,satisfactory; favorable,troubled; struggling,unstoppable; not staying still
